,x,y
398,1.0156,1.0156
399,1.0156,1.0156
400,1.0156,1.0156
401,1.0156,1.0156
402,1.0156,1.0156
403,1.0156,1.0156
404,1.0156,1.0156
405,1.0156,1.0156
406,1.0156,1.0156
407,1.0156,1.0156
408,1.0156,1.0156
409,1.0156,1.0156
410,1.0156,1.0156
411,1.0156,1.0156
412,1.0156,1.0156
413,1.0156,1.0156
414,1.0156,1.0156
415,1.0156,1.0156
416,1.0156,1.0156
417,1.0156,1.0156
418,1.0156,1.0156
419,1.0156,1.0156
420,1.0156,1.0156
421,1.0156,1.0156
422,1.0156,1.0156
423,1.0156,1.0156
424,1.0156,1.0156
425,1.0156,1.0156
426,1.0156,1.0156
427,1.0156,1.0156
428,1.0156,1.0156
429,1.0156,1.0156
430,1.0156,1.0156
431,1.0156,1.0156
432,1.0156,1.0156
433,1.0156,1.0156
434,1.0156,1.0156
435,1.0156,1.0156
436,1.0156,1.0156
437,1.0156,1.0156
438,1.0156,1.0156
439,1.0156,1.0156
440,1.0156,1.0156
441,1.0156,1.0156
442,1.0156,1.0156
443,1.0156,1.0156
444,1.0156,1.0156
445,1.0156,1.0156
446,1.0156,1.0156
447,1.0156,1.0156
448,1.0156,1.0156
449,1.0156,1.0156
450,1.0156,1.0156
451,1.0156,1.0156
452,1.0156,1.0156
453,1.0156,1.0156
454,1.0156,1.0156
455,1.0156,1.0156
456,1.0156,1.0156
457,1.0156,1.0156
458,1.0156,1.0156
459,1.0156,1.0156
460,1.0156,1.0156
461,1.0156,1.0156
462,1.0156,1.0156
463,1.0156,1.0156
464,1.0156,1.0156
465,1.0156,1.0156
466,1.0156,1.0156
467,1.0156,1.0156
468,1.0156,1.0156
469,1.0156,1.0156
470,1.0156,1.0156
471,1.0156,1.0156
472,1.0156,1.0156
473,1.0156,1.0156
474,1.0156,1.0156
475,1.0156,1.0156
476,1.0156,1.0156
477,1.0156,1.0156
478,1.0156,1.0156
479,1.0156,1.0156
480,1.0156,1.0156
481,1.0156,1.0156
482,1.0156,1.0156
483,1.0156,1.0156
484,1.0156,1.0156
485,1.0156,1.0156
486,0.4688,0.4688
487,0.4688,0.4688
488,0.4688,0.4688
489,0.4688,0.4688
490,0.4688,0.4688
491,0.4688,0.4688
492,0.4688,0.4688
493,0.4688,0.4688
494,0.4688,0.4688
495,0.4688,0.4688
496,0.4688,0.4688
497,0.4688,0.4688
498,0.4688,0.4688
499,0.4688,0.4688
